# verified GAV mapping — jlawyer.thirdparty:* -> Maven Central (Task 1.3)
# columns: synthetic	status	centralGav	localSha1	centralSha1	modules	candidates	notes
# generated from scripts/lib-gav-map.txt by SHA-1 verification against repo1.maven.org

jlawyer.thirdparty:commons-logging:1.1	CENTRAL_OK	commons-logging:commons-logging:1.1	ba24d5de831911b684c92cd289ed5ff826271824	ba24d5de831911b684c92cd289ed5ff826271824	j-lawyer-fax	commons-logging:commons-logging:1.1	Exact sha1 match.
jlawyer.thirdparty:commons-math3:3.6.1	CENTRAL_OK	org.apache.commons:commons-math3:3.6.1	e4ba98f1d4b3c80ec46392f25e094a6a2e58fcbf	e4ba98f1d4b3c80ec46392f25e094a6a2e58fcbf	j-lawyer-server/j-lawyer-server-ejb	org.apache.commons:commons-math3:3.6.1	Exact sha match.
jlawyer.thirdparty:commons-net:3.5	CENTRAL_OK	commons-net:commons-net:3.5	342fc284019f590e1308056990fdb24a08f06318	342fc284019f590e1308056990fdb24a08f06318	j-lawyer-server,j-lawyer-server-common,j-lawyer-server/j-lawyer-server-ejb	commons-net:commons-net:3.5	Exact sha1 match.
jlawyer.thirdparty:commons-net:3.1	CENTRAL_OK	commons-net:commons-net:3.1	2298164a7c2484406f2aa5ac85b205d39019896f	2298164a7c2484406f2aa5ac85b205d39019896f	j-lawyer-client	commons-net:commons-net:3.1	Exact sha-1 match.
jlawyer.thirdparty:commons-validator:1.4.0	CENTRAL_OK	commons-validator:commons-validator:1.4.0	42fa1046955ade59f5354a1876cfc523cea33815	42fa1046955ade59f5354a1876cfc523cea33815	j-lawyer-server	commons-validator:commons-validator:1.4.0	Exact sha match on Central.
jlawyer.thirdparty:commons-vfs2:2.1	CENTRAL_OK	org.apache.commons:commons-vfs2:2.1	eb5576a3985719dc796d52b828c7a068f1d85b28	eb5576a3985719dc796d52b828c7a068f1d85b28	j-lawyer-client,j-lawyer-server,j-lawyer-server-common,j-lawyer-server/j-lawyer-server-ejb	org.apache.commons:commons-vfs2:2.1	Exact sha match.
jlawyer.thirdparty:core:3.3.0	CENTRAL_OK	com.google.zxing:core:3.3.0	73c49077166faa4c3c0059c5f583d1d7bd1475fe	73c49077166faa4c3c0059c5f583d1d7bd1475fe	j-lawyer-client,j-lawyer-server/j-lawyer-server-ejb	com.google.zxing:core:3.3.0	ZXing core (paired with javase). Search API did not list it but jar exists and sha matches exactly.
jlawyer.thirdparty:curvesapi:1.06	CENTRAL_OK	com.github.virtuald:curvesapi:1.06	159dd2e8956459a4eb0a9a6ecda9004d8d289708	159dd2e8956459a4eb0a9a6ecda9004d8d289708	j-lawyer-server/j-lawyer-server-ejb	com.github.virtuald:curvesapi:1.06	Exact sha1 match.
jlawyer.thirdparty:ecs:1.4.2	CENTRAL_OK	ecs:ecs:1.4.2	f9bc5fdde56d60876c1785087ce2a301b4e4a676	f9bc5fdde56d60876c1785087ce2a301b4e4a676	j-lawyer-client	ecs:ecs:1.4.2;aws.sdk.kotlin:ecs:1.4.2	sha matched ecs:ecs; aws.sdk.kotlin:ecs did not match.
jlawyer.thirdparty:ecs:0.0.0	CENTRAL_OK	ecs:ecs:1.4.2	f9bc5fdde56d60876c1785087ce2a301b4e4a676	f9bc5fdde56d60876c1785087ce2a301b4e4a676	j-lawyer-client	ecs:ecs:1.4.2	sha matched ecs:ecs:1.4.2; true version 1.4.2 recovered.
jlawyer.thirdparty:error_prone_annotations:2.18.0	CENTRAL_OK	com.google.errorprone:error_prone_annotations:2.18.0	89b684257096f548fa39a7df9fdaa409d4d4df91	89b684257096f548fa39a7df9fdaa409d4d4df91	j-lawyer-client	com.google.errorprone:error_prone_annotations:2.18.0	Exact sha1 match.
jlawyer.thirdparty:ez-vcard:0.9.2	CENTRAL_OK	com.googlecode.ez-vcard:ez-vcard:0.9.2	d450ccf211be79458e5ee7cbf48b6b6fb426528b	d450ccf211be79458e5ee7cbf48b6b6fb426528b	j-lawyer-client	com.googlecode.ez-vcard:ez-vcard:0.9.2	Exact sha-1 match.
jlawyer.thirdparty:failureaccess:1.0.1	CENTRAL_OK	com.google.guava:failureaccess:1.0.1	1dcf1de382a0bf95a3d8b0849546c88bac1292c9	1dcf1de382a0bf95a3d8b0849546c88bac1292c9	j-lawyer-client	com.google.guava:failureaccess:1.0.1	Exact sha1 match.
jlawyer.thirdparty:flatlaf-extras:3.5.4	CENTRAL_OK	com.formdev:flatlaf-extras:3.5.4	58b9718933f44ea4dac26615ef36fe28e8779387	58b9718933f44ea4dac26615ef36fe28e8779387	j-lawyer-client	com.formdev:flatlaf-extras:3.5.4	Exact sha1 match on Central.
jlawyer.thirdparty:flatlaf-fonts-inter:3.19	CENTRAL_OK	com.formdev:flatlaf-fonts-inter:3.19	8d24df4e1578f81a5c0eee9e7a889b82b2545f65	8d24df4e1578f81a5c0eee9e7a889b82b2545f65	j-lawyer-client	com.formdev:flatlaf-fonts-inter:3.19	Exact sha1 match.
jlawyer.thirdparty:flatlaf-fonts-roboto:2.137	CENTRAL_OK	com.formdev:flatlaf-fonts-roboto:2.137	89deeffd508e95be7992bf01b9d4aafbfa548d1d	89deeffd508e95be7992bf01b9d4aafbfa548d1d	j-lawyer-client	com.formdev:flatlaf-fonts-roboto:2.137	Exact sha match under com.formdev.
jlawyer.thirdparty:font-asian:9.0.0	CENTRAL_OK	com.itextpdf:font-asian:9.0.0	3de1f9f86bb01e65116ed088dc6bbcf5e02035f2	3de1f9f86bb01e65116ed088dc6bbcf5e02035f2	j-lawyer-client	com.itextpdf:font-asian:9.0.0	iText font-asian module; sha1 exact match
jlawyer.thirdparty:fontbox:2.0.24	CENTRAL_OK	org.apache.pdfbox:fontbox:2.0.24	df8ecb3006dfcd52355a5902096e5ec34f06112e	df8ecb3006dfcd52355a5902096e5ec34f06112e	j-lawyer-client	org.apache.pdfbox:fontbox:2.0.24	Exact sha1 match.
jlawyer.thirdparty:forms:9.0.0	CENTRAL_OK	com.itextpdf:forms:9.0.0	f635682140efbda730371c5ca3f4087b892df57a	f635682140efbda730371c5ca3f4087b892df57a	j-lawyer-client	com.itextpdf:forms:9.0.0	iText forms module; sha1 exact match
jlawyer.thirdparty:glazedlists:1.11.0	CENTRAL_OK	com.glazedlists:glazedlists:1.11.0	4ecd1941bad2952338fc89293fbee565e0319f43	4ecd1941bad2952338fc89293fbee565e0319f43	j-lawyer-client	com.glazedlists:glazedlists:1.11.0	Exact sha match under com.glazedlists.
jlawyer.thirdparty:groovy:4.0.16	CENTRAL_OK	org.apache.groovy:groovy:4.0.16	4b23ab8f542bbbb517061cf5a0d401b632de9832	4b23ab8f542bbbb517061cf5a0d401b632de9832	j-lawyer-server/j-lawyer-server-ejb	org.apache.groovy:groovy:4.0.16	Groovy 4 uses org.apache.groovy groupId; sha matches.
jlawyer.thirdparty:groovy-all:2.4.21	CENTRAL_OK	org.codehaus.groovy:groovy-all:2.4.21	8e4f4c30dbb9123fbf703f256cd721bbac5c902a	8e4f4c30dbb9123fbf703f256cd721bbac5c902a	j-lawyer-client	org.codehaus.groovy:groovy-all:2.4.21	Exact sha match under org.codehaus.groovy.
jlawyer.thirdparty:guava:32.1.1-jre	CENTRAL_OK	com.google.guava:guava:32.1.1-jre	ad575652d84153075dd41ec6177ccb15251262b2	ad575652d84153075dd41ec6177ccb15251262b2	j-lawyer-client	com.google.guava:guava:32.1.1-jre	Exact sha1 match.
jlawyer.thirdparty:guava:14.0.1	CENTRAL_OK	com.google.guava:guava:14.0.1	69e12f4c6aeac392555f1ea86fab82b5e5e31ad4	69e12f4c6aeac392555f1ea86fab82b5e5e31ad4	j-lawyer-fax	com.google.guava:guava:14.0.1	Exact sha1 match on Central.
jlawyer.thirdparty:hamcrest-core:1.3	CENTRAL_OK	org.hamcrest:hamcrest-core:1.3	1f5cffd98805b80606c2f8a1b4e4585342860195	42a25dc3219429f0e5d060061f71acb49bf010a0	j-lawyer-client,j-lawyer-server,j-lawyer-server-common,j-lawyer-server-entities	org.hamcrest:hamcrest-core:1.3	Second local sha 42a25dc matches canonical hamcrest-core jar.
jlawyer.thirdparty:hibernate-core:5.3.28.Final	CENTRAL_OK	org.hibernate:hibernate-core:5.3.28.Final	5cd5d0df8c2a888cad6d50de6ced81f2163f863d	5cd5d0df8c2a888cad6d50de6ced81f2163f863d	j-lawyer-client,j-lawyer-server-entities	org.hibernate:hibernate-core:5.3.28.Final	Exact sha1 match.
jlawyer.thirdparty:hk2-api:2.2.0-b21	CENTRAL_OK	org.glassfish.hk2:hk2-api:2.2.0-b21	aed44e9b4efb3979564a0d383986cc8e7cd0ccbd	aed44e9b4efb3979564a0d383986cc8e7cd0ccbd	j-lawyer-fax,j-lawyer-server	org.glassfish.hk2:hk2-api:2.2.0-b21	Exact sha1 match on Central.
jlawyer.thirdparty:hk2-locator:2.2.0-b21	CENTRAL_OK	org.glassfish.hk2:hk2-locator:2.2.0-b21	484dc6b6d5ecb977b208ad1256b25c424d5fc049	484dc6b6d5ecb977b208ad1256b25c424d5fc049	j-lawyer-fax,j-lawyer-server	org.glassfish.hk2:hk2-locator:2.2.0-b21	sha matches.
jlawyer.thirdparty:hk2-utils:2.2.0-b21	CENTRAL_OK	org.glassfish.hk2:hk2-utils:2.2.0-b21	efbab185d37c32210303a814265b900c927a1226	efbab185d37c32210303a814265b900c927a1226	j-lawyer-fax,j-lawyer-server	org.glassfish.hk2:hk2-utils:2.2.0-b21	sha matches.
jlawyer.thirdparty:httpclient:4.5.8	CENTRAL_OK	org.apache.httpcomponents:httpclient:4.5.8	c27c9d6f15435dc2b6947112027b418b0eef32b9	c27c9d6f15435dc2b6947112027b418b0eef32b9	j-lawyer-client,j-lawyer-server-common	org.apache.httpcomponents:httpclient:4.5.8;cz.msebera.android:httpclient:4.5.8	Exact match on org.apache.httpcomponents; android repackage differs.
jlawyer.thirdparty:httpcore:4.4.11	CENTRAL_OK	org.apache.httpcomponents:httpcore:4.4.11	de748cf874e4e193b42eceea9fe5574fabb9d4df	de748cf874e4e193b42eceea9fe5574fabb9d4df	j-lawyer-client,j-lawyer-server-common	org.apache.httpcomponents:httpcore:4.4.11;com.yanzhenjie.apache:httpcore:4.4.11	Exact match on org.apache.httpcomponents.
jlawyer.thirdparty:hyph:9.0.0	CENTRAL_OK	com.itextpdf:hyph:9.0.0	5056b2ce3b6adb26590db20905712c254c56e45e	5056b2ce3b6adb26590db20905712c254c56e45e	j-lawyer-client	com.itextpdf:hyph:9.0.0	iText hyph module; sha1 exact match
jlawyer.thirdparty:ical4j:0.9.18	CENTRAL_OK	ical4j:ical4j:0.9.18	560950fbfce320abf84580c928b04fb19fa76092	560950fbfce320abf84580c928b04fb19fa76092	j-lawyer-client	ical4j:ical4j:0.9.18	Exact sha1 match.
jlawyer.thirdparty:io:9.0.0	CENTRAL_OK	com.itextpdf:io:9.0.0	03f45e3e71edd9f409327aa07dd2fc7a95deac3e	03f45e3e71edd9f409327aa07dd2fc7a95deac3e	j-lawyer-client	com.itextpdf:io:9.0.0	iText io module; sha1 exact match
jlawyer.thirdparty:istack-commons-runtime:3.0.11	CENTRAL_OK	com.sun.istack:istack-commons-runtime:3.0.11	4293b5f4e4e89d598f62bb2ba73b32132e7c3a27	4293b5f4e4e89d598f62bb2ba73b32132e7c3a27	j-lawyer-client	com.sun.istack:istack-commons-runtime:3.0.11	Exact sha1 match.
jlawyer.thirdparty:jai-imageio-core:1.3.1	CENTRAL_OK	com.github.jai-imageio:jai-imageio-core:1.3.1	300f3f0dedfca37b3278991f9397354971b37156	300f3f0dedfca37b3278991f9397354971b37156	j-lawyer-client,j-lawyer-server/j-lawyer-server-ejb	com.github.jai-imageio:jai-imageio-core:1.3.1	Exact sha match.
jlawyer.thirdparty:jakarta.activation:1.2.2	CENTRAL_OK	com.sun.activation:jakarta.activation:1.2.2	74548703f9851017ce2f556066659438019e7eb5	74548703f9851017ce2f556066659438019e7eb5	j-lawyer-client	com.sun.activation:jakarta.activation:1.2.2	Exact sha1 match.
jlawyer.thirdparty:jakarta.activation-api:1.2.2	CENTRAL_OK	jakarta.activation:jakarta.activation-api:1.2.2	99f53adba383cb1bf7c3862844488574b559621f	99f53adba383cb1bf7c3862844488574b559621f	j-lawyer-client	jakarta.activation:jakarta.activation-api:1.2.2	Exact sha1 match.
jlawyer.thirdparty:jakarta.enterprise.cdi-api:2.0.2	CENTRAL_OK	jakarta.enterprise:jakarta.enterprise.cdi-api:2.0.2	58f497f362cd19c2f8842d75c491d270f0600e7f	58f497f362cd19c2f8842d75c491d270f0600e7f	j-lawyer-server	jakarta.enterprise:jakarta.enterprise.cdi-api:2.0.2	Exact sha match on Central.
jlawyer.thirdparty:jakarta.inject-api:1.0.5	CENTRAL_OK	jakarta.inject:jakarta.inject-api:1.0.5	a14342a10456b134f361c258698d568107a1bc4e	a14342a10456b134f361c258698d568107a1bc4e	j-lawyer-server	jakarta.inject:jakarta.inject-api:1.0.5	Exact sha match on Central.
jlawyer.thirdparty:jakarta.mail:1.6.7	CENTRAL_OK	com.sun.mail:jakarta.mail:1.6.7	319df0e9d536c1a01acdfe49b6e82b97d2393073	319df0e9d536c1a01acdfe49b6e82b97d2393073	j-lawyer-server,j-lawyer-server-common	com.sun.mail:jakarta.mail:1.6.7	Exact sha1 match.
jlawyer.thirdparty:jakarta.persistence-api:2.2.3	CENTRAL_OK	jakarta.persistence:jakarta.persistence-api:2.2.3	8f6ea5daedc614f07a3654a455660145286f024e	8f6ea5daedc614f07a3654a455660145286f024e	j-lawyer-client,j-lawyer-server,j-lawyer-server-entities,j-lawyer-server/j-lawyer-io	jakarta.persistence:jakarta.persistence-api:2.2.3	Exact sha1 match on Central.
jlawyer.thirdparty:jakarta.validation-api:2.0.2	CENTRAL_OK	jakarta.validation:jakarta.validation-api:2.0.2	5eacc6522521f7eacb081f95cee1e231648461e7	5eacc6522521f7eacb081f95cee1e231648461e7	j-lawyer-server-entities	jakarta.validation:jakarta.validation-api:2.0.2	Exact sha1 match on Central.
jlawyer.thirdparty:jakarta.xml.bind-api:2.3.3	CENTRAL_OK	jakarta.xml.bind:jakarta.xml.bind-api:2.3.3	48e3b9cfc10752fba3521d6511f4165bea951801	48e3b9cfc10752fba3521d6511f4165bea951801	j-lawyer-client	jakarta.xml.bind:jakarta.xml.bind-api:2.3.3	Exact sha1 match.
jlawyer.thirdparty:java-rdfa:0.4.2	CENTRAL_OK	net.rootdev:java-rdfa:0.4.2	83009cabe2029f1e07f564e509634b7c168b7c7a	83009cabe2029f1e07f564e509634b7c168b7c7a	j-lawyer-server	net.rootdev:java-rdfa:0.4.2	Exact sha1 match.
jlawyer.thirdparty:javaee-api:6.0	CENTRAL_OK	javax:javaee-api:6.0	d6f416983ea13c334d5c599a9045414ecaf5d66d	d6f416983ea13c334d5c599a9045414ecaf5d66d	j-lawyer-server-common	javax:javaee-api:6.0	Exact sha1 match.
jlawyer.thirdparty:javase:3.3.0	CENTRAL_OK	com.google.zxing:javase:3.3.0	1d0cd0280ea9919ca928df5a3752b6f6a645b00e	1d0cd0280ea9919ca928df5a3752b6f6a645b00e	j-lawyer-client,j-lawyer-server/j-lawyer-server-ejb	com.google.zxing:javase:3.3.0	ZXing javase. Exact sha match.
jlawyer.thirdparty:javax.annotation-api:1.2	CENTRAL_OK	javax.annotation:javax.annotation-api:1.2	479c1e06db31c432330183f5cae684163f186146	479c1e06db31c432330183f5cae684163f186146	j-lawyer-fax	javax.annotation:javax.annotation-api:1.2	Exact sha1 match on Central.
jlawyer.thirdparty:javax.inject:2.2.0-b21	CENTRAL_OK	org.glassfish.hk2.external:javax.inject:2.2.0-b21	d742d605bc663895b04f4116591b699d4201370c	d742d605bc663895b04f4116591b699d4201370c	j-lawyer-fax	org.glassfish.hk2.external:javax.inject:2.2.0-b21	Exact sha1 match.
jlawyer.thirdparty:javax.mail:1.6.2	CENTRAL_OK	com.sun.mail:javax.mail:1.6.2	935151eb71beff17a2ffac15dd80184a99a0514f	935151eb71beff17a2ffac15dd80184a99a0514f	j-lawyer-client	com.sun.mail:javax.mail:1.6.2	Exact sha1 match.
jlawyer.thirdparty:javax.servlet-api:3.0.1	CENTRAL_OK	javax.servlet:javax.servlet-api:3.0.1	6bf0ebb7efd993e222fc1112377b5e92a13b38dd	6bf0ebb7efd993e222fc1112377b5e92a13b38dd	j-lawyer-fax	javax.servlet:javax.servlet-api:3.0.1	Exact sha1 match on Central.
jlawyer.thirdparty:jaxb-api:2.2.7	CENTRAL_OK	javax.xml.bind:jaxb-api:2.2.7	2f51c4bb4724ea408096ee9100ff2827e07e5b7c	2f51c4bb4724ea408096ee9100ff2827e07e5b7c	j-lawyer-fax	javax.xml.bind:jaxb-api:2.2.7	Exact sha1 match on Central.
jlawyer.thirdparty:jaxb-api:2.3.1	CENTRAL_OK	javax.xml.bind:jaxb-api:2.3.1	8531ad5ac454cc2deb9d4d32c40c4d7451939b5d	8531ad5ac454cc2deb9d4d32c40c4d7451939b5d	j-lawyer-server/j-lawyer-server-ejb	javax.xml.bind:jaxb-api:2.3.1;one.gfw:jaxb-api:2.3.1	Canonical javax.xml.bind matches; one.gfw mirror identical sha.
jlawyer.thirdparty:jaxb-core:2.3.0.1	CENTRAL_OK	com.sun.xml.bind:jaxb-core:2.3.0.1	23574ca124d0a694721ce3ef13cd720095f18fdd	23574ca124d0a694721ce3ef13cd720095f18fdd	j-lawyer-server/j-lawyer-server-ejb	com.sun.xml.bind:jaxb-core:2.3.0.1;org.glassfish.jaxb:jaxb-core:2.3.0.1	com.sun.xml.bind matches; org.glassfish.jaxb same a:v but different sha.
jlawyer.thirdparty:jaxb-impl:2.3.3	CENTRAL_OK	com.sun.xml.bind:jaxb-impl:2.3.3	3758e8c1664979749e647a9ca8c7ea1cd83c9b1e	3758e8c1664979749e647a9ca8c7ea1cd83c9b1e	j-lawyer-client	com.sun.xml.bind:jaxb-impl:2.3.3	Exact sha1 match.
jlawyer.thirdparty:jaxb-impl:2.3.2	CENTRAL_OK	com.sun.xml.bind:jaxb-impl:2.3.2	9d70d9b54cbc91b0e647d97af87395f39ea189f9	9d70d9b54cbc91b0e647d97af87395f39ea189f9	j-lawyer-server/j-lawyer-server-ejb	com.sun.xml.bind:jaxb-impl:2.3.2	Exact sha match.
jlawyer.thirdparty:jaxb-runtime:2.3.3	CENTRAL_OK	org.glassfish.jaxb:jaxb-runtime:2.3.3	c46b68a6e3a2d84ba4eb14c6a8a1a9a7be4048bc	c46b68a6e3a2d84ba4eb14c6a8a1a9a7be4048bc	j-lawyer-client	org.glassfish.jaxb:jaxb-runtime:2.3.3	Exact sha1 match.
jlawyer.thirdparty:jbig2-imageio:3.0.0	CENTRAL_OK	org.apache.pdfbox:jbig2-imageio:3.0.0	59cba3c1e9d11c790c27be31b311cd3d729ca900	59cba3c1e9d11c790c27be31b311cd3d729ca900	j-lawyer-client	org.apache.pdfbox:jbig2-imageio:3.0.0	Exact sha1 match.
jlawyer.thirdparty:jboss-annotations-api_1.3_spec:2.0.1.Final	CENTRAL_OK	org.jboss.spec.javax.annotation:jboss-annotations-api_1.3_spec:2.0.1.Final	b3744f492ce9a65d1197a5b24645dff93fa85424	b3744f492ce9a65d1197a5b24645dff93fa85424	j-lawyer-server-entities	org.jboss.spec.javax.annotation:jboss-annotations-api_1.3_spec:2.0.1.Final	Exact sha1 match on Central.
jlawyer.thirdparty:jboss-cli-client:0.0.0	CENTRAL_OK	org.wildfly.core:wildfly-cli:18.1.2.Final:client	b766c7ab384fbf41824f248fabef8f553fc86d21	b766c7ab384fbf41824f248fabef8f553fc86d21	j-lawyer-server	org.wildfly.core:wildfly-cli:18.1.2.Final	jboss-cli-client is the 'client' classifier jar of wildfly-cli; sha matches 18.1.2.Final-client.jar.
